sample,doc_filter,proportion_depth,depth,het,depth_category
mwr_TG0449,GL1-no_filter,0.30,3.39,0.00003106,medium
mwr_TG0449,GL1-no_filter,0.50,5.65,0.00006666,medium
mwr_TG0449,GL1-no_filter,0.75,8.48,0.00009528,medium
mwr_TG0449,GL1-no_filter,1.00,11.30,0.00011200,medium
mwr_TG0452,GL1-no_filter,0.10,0.71,0.00001212,medium
mwr_TG0452,GL1-no_filter,0.20,1.42,0.00003279,medium
mwr_TG0452,GL1-no_filter,0.30,2.12,0.00005180,medium
mwr_TG0452,GL1-no_filter,0.50,3.54,0.00007153,medium
mwr_TG0452,GL1-no_filter,0.75,5.31,0.00009596,medium
mwr_TG0452,GL1-no_filter,1.00,7.08,0.00012200,medium
mwr_TG0453,GL1-no_filter,0.10,1.70,0.00000240,high
mwr_TG0453,GL1-no_filter,0.20,3.40,0.00005191,high
mwr_TG0453,GL1-no_filter,0.30,5.09,0.00009148,high
mwr_TG0453,GL1-no_filter,0.50,8.49,0.00014600,high
mwr_TG0453,GL1-no_filter,0.75,12.74,0.00017862,high
mwr_TG0453,GL1-no_filter,1.00,16.98,0.00019300,high
mwr_TG0465,GL1-no_filter,0.10,1.71,0.00000144,high
mwr_TG0465,GL1-no_filter,0.20,3.43,0.00004797,high
mwr_TG0465,GL1-no_filter,0.30,5.14,0.00008811,high
mwr_TG0465,GL1-no_filter,0.50,8.57,0.00014683,high
mwr_TG0465,GL1-no_filter,0.75,12.85,0.00018304,high
mwr_TG0465,GL1-no_filter,1.00,17.13,0.00019900,high
mwr_TGF03,GL1-no_filter,0.10,1.79,0.00000109,high
mwr_TGF03,GL1-no_filter,0.20,3.57,0.00004058,high
mwr_TGF03,GL1-no_filter,0.30,5.36,0.00007353,high
mwr_TGF03,GL1-no_filter,0.50,8.93,0.00012055,high
mwr_TGF03,GL1-no_filter,0.75,13.40,0.00014862,high
mwr_TGF03,GL1-no_filter,1.00,17.86,0.00016200,high
mwr_TGF04,GL1-no_filter,0.10,0.94,0.00000774,medium
mwr_TGF04,GL1-no_filter,0.20,1.88,0.00000535,medium
mwr_TGF04,GL1-no_filter,0.30,2.81,0.00002518,medium
mwr_TGF04,GL1-no_filter,0.50,4.69,0.00004820,medium
mwr_TGF04,GL1-no_filter,0.75,7.04,0.00007522,medium
mwr_TGF04,GL1-no_filter,1.00,9.38,0.00009800,medium
mwr_TGF15,GL1-no_filter,0.10,1.86,0.00000401,high
mwr_TGF15,GL1-no_filter,0.20,3.72,0.00005188,high
mwr_TGF15,GL1-no_filter,0.30,5.57,0.00009036,high
mwr_TGF15,GL1-no_filter,0.50,9.29,0.00014318,high
mwr_TGF15,GL1-no_filter,0.75,13.94,0.00017441,high
mwr_TGF15,GL1-no_filter,1.00,18.58,0.00018800,high
wr_P9109_104,GL1-no_filter,0.10,2.05,0.00000181,high
wr_P9109_104,GL1-no_filter,0.20,4.10,0.00002389,high
wr_P9109_104,GL1-no_filter,0.30,6.15,0.00004240,high
wr_P9109_104,GL1-no_filter,0.50,10.25,0.00006723,high
wr_P9109_104,GL1-no_filter,0.75,15.37,0.00008145,high
wr_P9109_104,GL1-no_filter,1.00,20.49,0.00008700,high
wr_P9109_107,GL1-no_filter,0.10,2.24,0.00000306,high
wr_P9109_107,GL1-no_filter,0.20,4.48,0.00002797,high
wr_P9109_107,GL1-no_filter,0.30,6.72,0.00004731,high
wr_P9109_107,GL1-no_filter,0.50,11.21,0.00007091,high
wr_P9109_107,GL1-no_filter,0.75,16.81,0.00008304,high
wr_P9109_107,GL1-no_filter,1.00,22.41,0.00008700,high
wr_P9109_109,GL1-no_filter,0.10,2.08,0.00000087,high
wr_P9109_109,GL1-no_filter,0.20,4.17,0.00002591,high
wr_P9109_109,GL1-no_filter,0.30,6.25,0.00004402,high
wr_P9109_109,GL1-no_filter,0.50,10.42,0.00006913,high
wr_P9109_109,GL1-no_filter,0.75,15.63,0.00008273,high
wr_P9109_109,GL1-no_filter,1.00,20.84,0.00008800,high
wr_SRR5852738,GL1-no_filter,0.10,0.91,0.00000474,medium
wr_SRR5852738,GL1-no_filter,0.20,1.82,0.00000005,medium
wr_SRR5852738,GL1-no_filter,0.30,2.72,0.00000822,medium
wr_SRR5852738,GL1-no_filter,0.50,4.54,0.00004239,medium
wr_SRR5852738,GL1-no_filter,0.75,6.81,0.00006648,medium
wr_SRR5852738,GL1-no_filter,1.00,9.08,0.00008400,medium
wr_SRR5852742,GL1-no_filter,0.10,0.99,0.00000279,medium
wr_SRR5852742,GL1-no_filter,0.20,1.97,0.00000694,medium
wr_SRR5852742,GL1-no_filter,0.30,2.96,0.00002775,medium
wr_SRR5852742,GL1-no_filter,0.50,4.93,0.00007448,medium
wr_SRR5852742,GL1-no_filter,0.75,7.40,0.00011116,medium
wr_SRR5852742,GL1-no_filter,1.00,9.86,0.00013700,medium
wr_SRR5852746,GL1-no_filter,0.10,0.85,0.00000472,medium
wr_SRR5852746,GL1-no_filter,0.20,1.70,0.00000092,medium
wr_SRR5852746,GL1-no_filter,0.30,2.55,0.00002320,medium
wr_SRR5852746,GL1-no_filter,0.50,4.25,0.00006637,medium
wr_SRR5852746,GL1-no_filter,0.75,6.38,0.00010413,medium
wr_SRR5852746,GL1-no_filter,1.00,8.50,0.00013200,medium
