sample_name,lab_ID,source,voucher,reference,subspecies,pre/post-bottleneck,time_window,sex,sex_inferred_from_depth_X_scaffolds,country,locality,date,sequencing_platform,sequencing_mode,retained_reads,mapped_reads_raw,mapped_reads_raw_fraction,mapped_reads_clonal_fraction,mapped_reads_unique,mapped_reads_unique_fraction,depth_of_coverage,5CtoT_damage,ErTv,relatedness,filters,gw_het_GL1,gw_het_GL2,gw_het_GL2_3x,gw_het_GL2_5x,gw_het_GL2_5x_ErTv,Froh63_min10kb,Avg_RoH_len_63min10kb,Max_RoH_len_63min10kb,Froh_100kbmin,avg_roh_len_100kbmin,max_roh_len_100kbmin
ZA1958.1,wr_SRR5852738,San_Diego_Zoo_Institute_for_Conservation_Research,PRJNA394025.KB6974.24,Tunstall_et_al.2018,simum,Post-bottleneck,SWRpost,F,F,South Africa,NA,1958,Illumina,Paired_end_150_bp,166146617,131234478,0.7899,0.0037,130747206,0.7869,9.08,0.0005,0.01665024,,,0.000084,0.00013982,0.00013646,0.00012799,0.00012586,0.269732,566369,10908592,0.262890,752271,10908592
ZA1963.1,wr_SRR5852739,San_Diego_Zoo_Institute_for_Conservation_Research,PRJNA394025.KB5892.156,Tunstall_et_al.2018,simum,Post-bottleneck,SWRpost,F,F,South Africa,NA,1963,Illumina,Paired_end_150_bp,182943677,139770617,0.764,0.0041,139192630,0.7608,9.7,0.0005,0.01709193,,,0.000088,0.0001423,0.00013915,0.00013124,0.000129,0.264485,530999,8132349,0.256752,720431,8132349
ZA1963.2,wr_SRR5852740,San_Diego_Zoo_Institute_for_Conservation_Research,PRJNA394025.KB7062.147,Tunstall_et_al.2018,simum,Post-bottleneck,SWRpost,F,F,South Africa,NA,1963,Illumina,Paired_end_150_bp,183262608,141303484,0.771,0.0048,140620450,0.7673,9.76,0.0007,0.0170533,,,0.000092,0.00014697,0.00014382,0.00013571,0.0001334,0.23615,427066,5529992,0.226480,596274,5529992
SD1972.1,wr_SRR5852741,San_Diego_Zoo_Institute_for_Conservation_Research,PRJNA394025.KB5764.376,Tunstall_et_al.2018,cottoni,Post-bottleneck,NWRpost,F,F,Sudan,NA,1972,Illumina,Paired_end_150_bp,179636474,139848010,0.7785,0.0052,139114182,0.7744,9.68,0.0009,0.01644712,,,0.000139,0.00020905,0.00020508,0.00019452,0.00019132,0.399185,264691,5942017,0.361532,482001,5942017
SD1973.1,wr_SRR5852742,San_Diego_Zoo_Institute_for_Conservation_Research,PRJNA394025.KB5766.372,Tunstall_et_al.2018,cottoni,Post-bottleneck,NWRpost,M,M,Sudan,NA,1973,Illumina,Paired_end_150_bp,187434291,142941851,0.7626,0.0031,142501494,0.7603,9.86,0.0009,0.01691394,,,0.000137,0.0002036,0.00020031,0.00019102,0.00018779,0.419022,280220,6773574,0.382552,506072,6773574
SS1954.1,wr_SRR5852743,San_Diego_Zoo_Institute_for_Conservation_Research,PRJNA394025.KB3731.28,Tunstall_et_al.2018,cottoni,Post-bottleneck,NWRpost,F,F,South Sudan,Equatoria,1954,Illumina,Paired_end_150_bp,183307507,140731365,0.7677,0.0032,140285662,0.7653,9.74,0.0007,0.01703195,,,0.000143,0.00021673,0.00021296,0.0002014,0.00019797,0.386614,261152,6387286,0.349997,471310,6387286
SD1972.2,wr_SRR5852744,San_Diego_Zoo_Institute_for_Conservation_Research,PRJNA394025.KB5763.377,Tunstall_et_al.2018,cottoni,Post-bottleneck,NWRpost,F,F,Sudan,NA,1972,Illumina,Paired_end_150_bp,185450379,139998444,0.7549,0.0037,139483797,0.7521,9.74,0.0008,0.0160361,,,0.000124,0.00018714,0.00018416,0.00017589,0.00017307,0.439226,309382,9249016,0.404486,555037,9249016
SD1974.1,wr_SRR5852745,San_Diego_Zoo_Institute_for_Conservation_Research,PRJNA394025.KB8175.374,Tunstall_et_al.2018,cottoni,Post-bottleneck,NWRpost,F,F,Sudan,NA,1974,Illumina,Paired_end_150_bp,166083178,98835593,0.5951,0.0026,98578815,0.5936,6.87,0.0008,0.01720035,,,0.000102,0.00020526,0.00019532,0.00017849,0.00017542,0.410588,304162,12436124,0.379255,500301,12436124
SD1972.3,wr_SRR5852746,San_Diego_Zoo_Institute_for_Conservation_Research,"PRJNA394025,KB9939.373",Tunstall_et_al.2018,cottoni,Post-bottleneck,NWRpost,M,M,Sudan,NA,1972,Illumina,Paired_end_150_bp,158755543,122341238,0.7706,0.0034,121931284,0.768,8.5,0.0009,0.01642052,,,0.000132,0.00020971,0.00020484,0.0001939,0.00019072,0.380207,258686,5487326,0.343629,465742,5487326
SD1963.1,wr_SRR5852747,San_Diego_Zoo_Institute_for_Conservation_Research,PRJNA394025.KB6571.74,Tunstall_et_al.2018,cottoni,Post-bottleneck,NWRpost,M,M,Sudan,NA,1963,Illumina,Paired_end_150_bp,171373726,129705211,0.7569,0.0047,129089156,0.7533,8.93,0.0009,0.01713285,,,0.000135,0.00021202,0.00020788,0.00019611,0.00019275,0.389683,262470,5535392,0.352262,475382,5535392
UG1965.1,wr_SRR5852748,San_Diego_Zoo_Institute_for_Conservation_Research,PRJNA394025.KB8174.351,Tunstall_et_al.2018,cottoni,Post-bottleneck,NWRpost,F,F,Uganda,NA,1965,Illumina,Paired_end_150_bp,205073417,150631730,0.7345,0.006,149734543,0.7302,10.42,0.0009,0.01703115,,,0.000127,0.00018958,0.00018668,0.0001781,0.00017507,0.461894,320065,12511588,0.427628,584230,12511588
SD1972.4,wr_SRR5852749,San_Diego_Zoo_Institute_for_Conservation_Research,PRJNA394025.KB9947.348,Tunstall_et_al.2018,cottoni,Post-bottleneck,NWRpost,M,M,Sudan,NA,1972,Illumina,Paired_end_150_bp,179506453,137015991,0.7633,0.0035,136530013,0.7606,9.51,0.0005,0.01653318,,,0.000135,0.0002045,0.00020042,0.00019041,0.00018726,0.418121,275109,5716907,0.382085,490254,5716907
ZA1961.1,wr_SRR5852750,San_Diego_Zoo_Institute_for_Conservation_Research,PRJNA394025.KB13306.34,Tunstall_et_al.2018,simum,Post-bottleneck,SWRpost,M,M,South Africa,NA,1961,Illumina,Paired_end_150_bp,173971516,134278827,0.7718,0.0057,133514813,0.7675,9.27,0.0008,0.0169918,,,0.000085,0.00013927,0.00013583,0.00012827,0.00012609,0.268474,524426,9485541,0.260052,729690,9485541
