sample_name,lab_ID,source,voucher,reference,subspecies,pre/post-bottleneck,time_window,sex,sex_inferred_from_depth_X_scaffolds,country,locality,date,sequencing_platform,sequencing_mode,retained_reads,mapped_reads_raw,mapped_reads_raw_fraction,mapped_reads_clonal_fraction,mapped_reads_unique,mapped_reads_unique_fraction,depth_of_coverage,5’CtoT_damage,gw_het_GL1_raw,gw_het_GL1_corrected,exon_het_GL1_raw,exon_het_GL1_corrected,FRoH,relatedness,filters,gw_het_GL2,gw_het_GL2_3x,gw_het_GL2_5x,ErTv,gw_het_GL2_3x_ErTv,gw_het_GL2_5x_ErTv,F_ngsF,exon_het_GL2_5x,exon_het_GL2_5x_ErTv,Froh_JH767723,Froh_88filt,Froh,ave_RoH_len,max_RoH_len,min_RoH_len,GW_het_DS,GW_het_DS_corrected
NA1857.1,mwr_TGF07,Swedish_Museum_of_Natural_History,607485,unpublished,simum,Pre-bottleneck,SWRpre,NA,F,Namibia,Damaraland,1857,BGIseq-500,Single_end_100_bp,806548920,683008201,0.8468,0.2598,505586100,0.6269,16.03,0.0205,0.000155,0.000158,0.000086,0.000087,0.1394,,,0.00016965,0.00016985,0.00017082,0.00095133,0.00016969,0.00017066,0.001491,0.00010053,0.00010043,0.1811,0.36597,0.232285,194908,3255041,4547,0.00009484,9.4747877670327E-05
ZA1842.1,mwr_TGF09,Swedish_Museum_of_Natural_History,612595,unpublished,simum,Pre-bottleneck,SWRpre,NA,F,South Africa,Umfolozi,1842,BGIseq-500,Single_end_100_bp,808407179,506781160,0.6269,0.3549,326899842,0.4044,6.73,0.0321,0.000077,0.000136,0.000058,0.000104,0.3485,Related to ZA1845.2,,0.00011104,0.00011554,0.00012836,0.00199816,0.00011531,0.0001281,NA,0.00008536,0.00008519,0.0238,0.72813,0.017498,78020.8,274371,14535,0.00009748,9.7286317165224E-05
ZA1995.1,mwr_TGF10,National_Museums_Scotland,Z.2000.033,unpublished,simum,Post-bottleneck,SWRpost,NA,F,South Africa,Umfolozi_Reserve,1995,BGIseq-500,Single_end_100_bp,709162239,541560848,0.7637,0.2919,383506216,0.5408,11.33,0.0059,0.000102,0.000118,0.000071,0.000084,0.3351,,,0.00012037,0.00012241,0.00012918,0.00231474,0.00012213,0.00012888,0.001847,0.00008496,0.00008477,0.2002,0.3521,0.319809,464034,3000502,5317,0.00008553,8.5332219824852E-05
ZA2009.1,mwr_TGF11,National_Museums_Scotland,Z.2009.010,unpublished,simum,Post-bottleneck,SWRpost,NA,F,South Africa,KwaZulu_Natal_Hluluwe_Umfolozi_National_Park,2009,BGIseq-500,Single_end_100_bp,644582780,520754400,0.8079,0.2416,394953678,0.6127,12.51,0.0041,0.000113,0.000124,0.000082,0.000091,0.3137,,,0.00012811,0.00012984,0.00013512,0.0014266,0.00012965,0.00013493,0.001747,0.00009697,0.00009683,0.1171,0.59625,0.257529,475269,2378166,8417,0.00008775,8.762761185552E-05
ZA2010.1,mwr_TGF12,National_Museums_Scotland,Z.2010.73,unpublished,simum,Post-bottleneck,SWRpost,NA,M,South Africa,KwaZulu_Natal,2010,BGIseq-500,Single_end_100_bp,682559275,307297140,0.4502,0.2846,219832366,0.3221,5.57,0.0039,0.00006,0.000132,0.000046,0.000102,0.4908,,,0.0000834,0.00008861,0.0001072,0.00079277,0.00008854,0.00010712,0.006291,0.00007113,0.00007108,0.1499,0.91856,0.234427,611975,5902852,11359,0.00007703,7.6966634750271E-05
un2004.1,mwr_TGF13,National_Museums_Scotland,Z.2004.75,unpublished,simum,Post-bottleneck,SWRpost,NA,M,unknown,NA,2004,BGIseq-500,Single_end_100_bp,755695371,625680704,0.828,0.2026,498937110,0.6602,15.42,0.0025,0.000127,0.000131,0.000086,0.000088,0.2779,,,0.00014042,0.00014085,0.00014126,0.00056265,0.00014077,0.00014118,0,0.00009613,0.00009607,0.0839,0.52613,0.231866,426618,4132375,10125,0.00007891,7.8862103257775E-05
SD1914.1,mwr_TGF14,National_Museums_Scotland,Z.1930.47,unpublished,cottoni,Pre-bottleneck,NWRpre,NA,F,Sudan,Lado_Enclave,1914,BGIseq-500,Single_end_100_bp,717916347,600631894,0.8366,0.2369,458364946,0.6385,12.72,0.0171,0.000186,0.000204,0.000114,0.000126,0.1498,,,0.00020802,0.0002083,0.00020979,0.00095811,0.0002081,0.00020959,0.000845,0.00013001,0.00012989,0.4158,0.39258,0.370672,217302,3986973,3257,0.00012794,0.0001278184
UG1905.2,mwr_TGF15,Powell_Cotton_Museum,123,unpublished,cottoni,Pre-bottleneck,NWRpre,NA,F,Uganda,Ouneri_Nr_Wadelai_Lado_Enclave,1905,BGIseq-500,Single_end_100_bp,797945772,680760555,0.8531,0.2217,529804444,0.664,18.58,0.009,0.000188,0.000187,0.000112,0.000111,0.2348,,,0.00020105,0.00020117,0.00020116,0.00091927,0.00020099,0.00020098,0.025759,0.00012098,0.00012087,0.5722,0.54857,0.431068,273724,5217005,3325,0.00011656,0.0001164558
SD1905.5,mwr_TGF16,Powell_Cotton_Museum,32,unpublished,cottoni,Pre-bottleneck,NWRpre,NA,F,Sudan,By_Kero_Lado_Enclave,1905,BGIseq-500,Single_end_100_bp,810866100,664342818,0.8193,0.1916,537026668,0.6623,17.83,0.0117,0.000205,0.000205,0.000117,0.000117,0.141,,,0.00021962,0.00022007,0.00022062,0.00126321,0.00021979,0.00022034,0.002987,0.0001344,0.00013423,0.3466,0.74671,0.320715,184822,2690839,1647,0.00012453,0.0001243727
ZA1976.1,mwr_TGF17,Natural_History_Museum_Vienna,62132,unpublished,simum,Post-bottleneck,SWRpost,M,M,South Africa,KwaZulu_Natal_Hluluwe_Umfolozi_National_Park,1976,BGIseq-500,Single_end_100_bp,595924021,477386490,0.8011,0.2268,369133906,0.6194,11.88,0.0037,0.000119,0.000135,0.000072,0.000083,0.2763,,,0.00013397,0.00013423,0.0001356,0.0013352,0.00013405,0.00013542,0.000496,0.00008384,0.00008373,0.2456,0.34022,0.207635,424201,4390427,9319,0.00007929,7.918782705176E-05
