new_ID,sample_name,AfRSG_subsp.,voucher,source,reference,pre/post-bottleneck,time_window,sex,sex_inferred_from_depth_X_scaffolds,country,locality,date,sequencing_platform,sequencing_mode,seq_retained_reads,hits_raw,hits_raw_frac,hits_clonality,hits_unique,hits_unique_frac,hits_coverage,5’CtoT_damage,uncorrected_gw_het,corrected_gw_het,uncorrected_exon_het,corrected_exon_het,FRoH,comments
SD1905.5,mwr_TGF16,cottoni,32,Powell_Cotton_Museum,unpublished,Pre-bottleneck,NWR1,NA,F,Sudan,By_Kero_Lado_Enclave,1905,BGIseq-500,Single_end_100_bp,810866100,664342818,0.8193,0.1916,537026668,0.6623,17.83,0.0117,0.00020476,0.00020513,0.00011666,0.00011668,0.1410,
ZA1976.1,mwr_TGF17,simum,62132,NHM_Wien,unpublished,Post-bottleneck,SWR2,M,M,South Africa,KwaZulu_Natal_Hluluwe_Umfolozi_National_Park,1976,BGIseq-500,Single_end_100_bp,595924021,477386490,0.8011,0.2268,369133906,0.6194,11.88,0.0037,0.00011914,0.00013455,0.00007222,0.00008251,0.2763,
cap2009.1,wr_P9109_102,simum,KB21325,San_Diego_Zoo_Institute_for_Conservation_Research,unpublished,Post-bottleneck,SWR2,F,F,captive,captive,2009,Illumina,Paired_end_150_bp,396393903,323144374,0.8152,0.1535,273542061,0.6901,17.2,0.0035,0.00007922,0.00007978,0.00004511,0.00004539,0.3886,
cap2010.1,wr_P9109_103,simum,KB21326,San_Diego_Zoo_Institute_for_Conservation_Research,unpublished,Post-bottleneck,SWR2,F,F,captive,captive,2010,Illumina,Paired_end_150_bp,391652474,326737057,0.8343,0.1562,275697899,0.7039,17.41,0.0016,0.00008213,0.00008256,0.00004990,0.00005010,0.3547,
cap2008.1,wr_P9109_104,simum,KB21328,San_Diego_Zoo_Institute_for_Conservation_Research,unpublished,Post-bottleneck,SWR2,F,F,captive,captive,2008,Illumina,Paired_end_150_bp,464991217,393099780,0.8454,0.1681,327004492,0.7032,20.49,0.0015,0.00008721,0.00008592,0.00005471,0.00005382,0.3444,
cap2011.1,wr_P9109_105,simum,KB21329,San_Diego_Zoo_Institute_for_Conservation_Research,unpublished,Post-bottleneck,SWR2,F,F,captive,captive,2011,Illumina,Paired_end_150_bp,392551261,328274408,0.8363,0.1344,284140282,0.7238,17.85,0.0016,0.00009125,0.00009140,0.00005380,0.00005380,0.2960,
cap2011.2,wr_P9109_106,simum,KB21408,San_Diego_Zoo_Institute_for_Conservation_Research,unpublished,Post-bottleneck,SWR2,F,F,captive,captive,2011,Illumina,Paired_end_150_bp,462564978,395111643,0.8542,0.1337,342295054,0.74,21.62,0.0015,0.00008453,0.00008263,0.00005129,0.00005018,0.3539,
cap2011.3,wr_P9109_107,simum,KB21409,San_Diego_Zoo_Institute_for_Conservation_Research,unpublished,Post-bottleneck,SWR2,F,F,captive,captive,2011,Illumina,Paired_end_150_bp,493996657,419769074,0.8497,0.153,355531400,0.7197,22.41,0.0017,0.00008732,0.00008477,0.00005427,0.00005286,0.3435,
ZA2012.1,wr_P9109_108,simum,KB21391,San_Diego_Zoo_Institute_for_Conservation_Research,unpublished,Post-bottleneck,SWR2,F,F,South Africa,NA,2012,Illumina,Paired_end_150_bp,355398018,304068147,0.8556,0.155,256944179,0.723,16.17,0.0016,0.00008742,0.00008899,0.00005375,0.00005476,0.3299,
ZA1968.1,wr_P9109_109,simum,KB21423,San_Diego_Zoo_Institute_for_Conservation_Research,unpublished,Post-bottleneck,SWR2,F,F,South Africa,NA,1968,Illumina,Paired_end_150_bp,450347121,382462959,0.8493,0.1317,332098823,0.7374,20.84,0.0017,0.00008835,0.00008685,0.00005345,0.00005249,0.3397,
