sample_name,lab_ID,source,voucher,reference,subspecies,pre/post-bottleneck,time_window,sex,sex_inferred_from_depth_X_scaffolds,country,locality,date,sequencing_platform,sequencing_mode,retained_reads,mapped_reads_raw,mapped_reads_raw_fraction,mapped_reads_clonal_fraction,mapped_reads_unique,mapped_reads_unique_fraction,depth_of_coverage,5’CtoT_damage,gw_het_GL1_raw,gw_het_GL1_corrected,exon_het_GL1_raw,exon_het_GL1_corrected,FRoH,comments,gw_het_GL2,gw_het_GL2_3x,gw_het_GL2_5x,gw_het_GL2_3x_ErTv
UG1905.2,mwr_TGF15,Powell_Cotton_Museum,123,unpublished,cottoni,Pre-bottleneck,NWR1,NA,F,Uganda,Ouneri_Nr_Wadelai_Lado_Enclave,1905,BGIseq-500,Single_end_100_bp,797945772,680760555,0.8531,0.2217,529804444,0.664,18.58,0.009,0.000188,0.000187,0.000112,0.000111,0.2348,,0.00020105,0.00020117,0.00020116,0.00020099
SD1905.5,mwr_TGF16,Powell_Cotton_Museum,32,unpublished,cottoni,Pre-bottleneck,NWR1,NA,F,Sudan,By_Kero_Lado_Enclave,1905,BGIseq-500,Single_end_100_bp,810866100,664342818,0.8193,0.1916,537026668,0.6623,17.83,0.0117,0.000205,0.000205,0.000117,0.000117,0.141,,0.00021962,0.00022007,0.00022062,0.00021979
ZA1976.1,mwr_TGF17,Natural_History_Museum_Vienna,62132,unpublished,simum,Post-bottleneck,SWR2,M,M,South_Africa,KwaZulu_Natal_Hluluwe_Umfolozi_National_Park,1976,BGIseq-500,Single_end_100_bp,595924021,477386490,0.8011,0.2268,369133906,0.6194,11.88,0.0037,0.000119,0.000135,0.000072,0.000083,0.2763,,0.00013397,0.00013423,0.0001356,0.00013405
cap2009.1,wr_P9109_102,San_Diego_Zoo_Institute_for_Conservation_Research,KB21325,unpublished,simum,Post-bottleneck,SWR2,F,F,captive,captive,2009,Illumina,Paired_end_150_bp,396393903,323144374,0.8152,0.1535,273542061,0.6901,17.2,0.0035,0.000079,0.00008,0.000045,0.000045,0.3886,,0.00008683,0.00008692,0.00008671,0.00008687
cap2010.1,wr_P9109_103,San_Diego_Zoo_Institute_for_Conservation_Research,KB21326,unpublished,simum,Post-bottleneck,SWR2,F,F,captive,captive,2010,Illumina,Paired_end_150_bp,391652474,326737057,0.8343,0.1562,275697899,0.7039,17.41,0.0016,0.000082,0.000083,0.00005,0.00005,0.3547,,0.00008989,0.00008982,0.00008965,0.00008977
cap2008.1,wr_P9109_104,San_Diego_Zoo_Institute_for_Conservation_Research,KB21328,unpublished,simum,Post-bottleneck,SWR2,F,F,captive,captive,2008,Illumina,Paired_end_150_bp,464991217,393099780,0.8454,0.1681,327004492,0.7032,20.49,0.0015,0.000087,0.000086,0.000055,0.000054,0.3444,,0.0000943,0.00009418,0.00009409,0.00009412
cap2011.1,wr_P9109_105,San_Diego_Zoo_Institute_for_Conservation_Research,KB21329,unpublished,simum,Post-bottleneck,SWR2,F,F,captive,captive,2011,Illumina,Paired_end_150_bp,392551261,328274408,0.8363,0.1344,284140282,0.7238,17.85,0.0016,0.000091,0.000091,0.000054,0.000054,0.296,,0.00009997,0.00010012,0.00009998,0.00010001
cap2011.2,wr_P9109_106,San_Diego_Zoo_Institute_for_Conservation_Research,KB21408,unpublished,simum,Post-bottleneck,SWR2,F,F,captive,captive,2011,Illumina,Paired_end_150_bp,462564978,395111643,0.8542,0.1337,342295054,0.74,21.62,0.0015,0.000085,0.000083,0.000051,0.00005,0.3539,,0.00009174,0.00009162,0.00009149,0.00009152
cap2011.3,wr_P9109_107,San_Diego_Zoo_Institute_for_Conservation_Research,KB21409,unpublished,simum,Post-bottleneck,SWR2,F,F,captive,captive,2011,Illumina,Paired_end_150_bp,493996657,419769074,0.8497,0.153,355531400,0.7197,22.41,0.0017,0.000087,0.000085,0.000054,0.000053,0.3435,,0.0000937,0.00009362,0.00009354,0.00009359
ZA2012.1,wr_P9109_108,San_Diego_Zoo_Institute_for_Conservation_Research,KB21391,unpublished,simum,Post-bottleneck,SWR2,F,F,South_Africa,NA,2012,Illumina,Paired_end_150_bp,355398018,304068147,0.8556,0.155,256944179,0.723,16.17,0.0016,0.000087,0.000089,0.000054,0.000055,0.3299,,0.00009553,0.00009564,0.00009534,0.00009561
