new_ID,Sample_name,Lab_ID,Voucher,Sex,Sex_inferred_from_depth_of_sex_chromosomes,Country,Locality,date,H/M,Pre/Post-bottleneck,Source,Reference,AfRSG_subsp.,seq_reads_se,seq_retained_reads,hits_raw,hits_raw_frac,hits_clonality,hits_unique,hits_unique_frac,hits_coverage,relatedness,time_window,comments,5’CtoT_damage,uncorrected_gw_het,corrected_gw_het,uncorrected_exon_het,corrected_exon_het,FRoH
ZA1963.1,wr_SRR5852739,SRR5852739,PRJNA394025.KB5892.156,F,F,South_Africa,NA,1963,M,Post-bottleneck,San_Diego_Zoo_Institute_for_Conservation_Research,Tunstall_et_al.2018,simum,NA,182943677,139770617,76.40%,0.41%,139192630,76.08%,9.70,NA,SWR2,,0.0004767175,0.000088,0.000112,0.000055,0.000071,0.3490
ZA1963.2,wr_SRR5852740,SRR5852740,PRJNA394025.KB7062.147,F,F,South_Africa,NA,1963,M,Post-bottleneck,San_Diego_Zoo_Institute_for_Conservation_Research,Tunstall_et_al.2018,simum,NA,183262608,141303484,77.10%,0.48%,140620450,76.73%,9.76,NA,SWR2,,0.0006969637,0.000092,0.000116,0.000058,0.000075,0.3086
SD1972.1,wr_SRR5852741,SRR5852741,PRJNA394025.KB5764.376,F,F,Sudan,NA,1972,M,Post-bottleneck,San_Diego_Zoo_Institute_for_Conservation_Research,Tunstall_et_al.2018,cottoni,NA,179636474,139848010,77.85%,0.52%,139114182,77.44%,9.68,NA,NWR2,,0.0008662395,0.000139,0.000177,0.000077,0.000100,0.2154
SD1973.1,wr_SRR5852742,SRR5852742,PRJNA394025.KB5766.372,M,M,Sudan,NA,1973,M,Post-bottleneck,San_Diego_Zoo_Institute_for_Conservation_Research,Tunstall_et_al.2018,cottoni,NA,187434291,142941851,76.26%,0.31%,142501494,76.03%,9.86,NA,NWR2,,0.0008679633,0.000137,0.000172,0.000073,0.000094,0.2370
SS1954.1,wr_SRR5852743,SRR5852743,PRJNA394025.KB3731.28,F,F,South_Sudan,Equatoria,1954,M,Post-bottleneck,San_Diego_Zoo_Institute_for_Conservation_Research,Tunstall_et_al.2018,cottoni,NA,183307507,140731365,76.77%,0.32%,140285662,76.53%,9.74,NA,NWR2,,0.0006737846,0.000143,0.000181,0.000077,0.000099,0.2044
SD1972.2,wr_SRR5852744,SRR5852744,PRJNA394025.KB5763.377,F,F,Sudan,NA,1972,M,Post-bottleneck,San_Diego_Zoo_Institute_for_Conservation_Research,Tunstall_et_al.2018,cottoni,NA,185450379,139998444,75.49%,0.37%,139483797,75.21%,9.74,NA,NWR2,,0.000751483,0.000124,0.000158,0.000069,0.000090,0.2725
SD1974.1,wr_SRR5852745,SRR5852745,PRJNA394025.KB8175.374,F,F,Sudan,NA,1974,M,Post-bottleneck,San_Diego_Zoo_Institute_for_Conservation_Research,Tunstall_et_al.2018,cottoni,NA,166083178,98835593,59.51%,0.26%,98578815,59.36%,6.87,NA,NWR2,,0.0007837537,0.000102,0.000176,0.000055,0.000096,0.2799
SD1972.3,wr_SRR5852746,SRR5852746,"PRJNA394025,KB9939.373",M,M,Sudan,NA,1972,M,Post-bottleneck,San_Diego_Zoo_Institute_for_Conservation_Research,Tunstall_et_al.2018,cottoni,NA,158755543,122341238,77.06%,0.34%,121931284,76.80%,8.50,NA,NWR2,,0.0009403079,0.000132,0.000185,0.000074,0.000106,0.2145
SD1963.1,wr_SRR5852747,SRR5852747,PRJNA394025.KB6571.74,M,M,Sudan,NA,1963,M,Post-bottleneck,San_Diego_Zoo_Institute_for_Conservation_Research,Tunstall_et_al.2018,cottoni,NA,171373726,129705211,75.69%,0.47%,129089156,75.33%,8.93,NA,NWR2,,0.0009225723,0.000135,0.000182,0.000076,0.000104,0.2077
UG1965.1,wr_SRR5852748,SRR5852748,PRJNA394025.KB8174.351,F,F,Uganda,NA,1965,M,Post-bottleneck,San_Diego_Zoo_Institute_for_Conservation_Research,Tunstall_et_al.2018,cottoni,NA,205073417,150631730,73.45%,0.60%,149734543,73.02%,10.42,NA,NWR2,,0.0009117848,0.000127,0.000155,0.000074,0.000091,0.2982
SD1972.4,wr_SRR5852749,SRR5852749,PRJNA394025.KB9947.348,M,M,Sudan,NA,1972,M,Post-bottleneck,San_Diego_Zoo_Institute_for_Conservation_Research,Tunstall_et_al.2018,cottoni,NA,179506453,137015991,76.33%,0.35%,136530013,76.06%,9.51,NA,NWR2,,0.0005490799,0.000135,0.000174,0.000073,0.000096,0.2397
ZA1961.1,wr_SRR5852750,SRR5852750,PRJNA394025.KB13306.34,M,M,South_Africa,NA,1961,M,Post-bottleneck,San_Diego_Zoo_Institute_for_Conservation_Research,Tunstall_et_al.2018,simum,NA,173971516,134278827,77.18%,0.57%,133514813,76.75%,9.27,NA,SWR2,,0.0008474002,0.000085,0.000112,0.000052,0.000070,0.3608
